"","違反槍砲彈藥刀械管制條例概況",,單位：件 、人 
"違反槍砲彈藥刀械管制條例概況","發生數(件) / 臺北市 ","破獲數(件) / 臺北市 ","嫌疑犯(人) / 臺北市 "
"104年 2月","        29","        37","        21"
"104年 3月","         5","         7","         6"
"104年 4月","        11","        13","        12"
"104年 5月","         6","         8","        11"
"104年 6月","        12","        23","        21"
"104年 7月","        11","        17","        14"
"104年 8月","         8","        13","         7"
"104年 9月","         6","         9","         6"
"104年 10月","        14","        15","        10"
"104年 11月","         7","        16","        14"
"104年 12月","         7","        15","         9"
"105年","       100","       161","       109"
"105年 1月","         9","        12","        11"
"105年 2月","         5","         6","         5"
"105年 3月","         5","        10","         6"
"105年 4月","         7","        10","         3"
"105年 5月","        13","        22","        17"
"105年 6月","        10","        14","         8"
"105年 7月","         9","        17","        16"
"105年 8月","         7","        16","         7"
"105年 9月","         8","        11","         8"
"105年 10月","        11","        13","         9"
"105年 11月","         8","        18","         9"
"105年 12月","         8","        12","        10"
"106年","       116","       204","       178"
"106年 1月","         6","        16","        12"
"106年 2月","         8","        14","        14"
"106年 3月","         8","        15","        11"
"106年 4月","        11","        22","        15"
"106年 5月","        10","        21","        19"
"106年 6月","        13","        20","        22"
"106年 7月","         6","         9","         7"
"106年 8月","        14","        18","        19"
"106年 9月","        14","        18","        18"
"106年 10月","        13","        23","        14"
"106年 11月","         6","        18","        14"
"106年 12月","         7","        10","        13"
"107年","       123","       193","       192"
"107年 1月","        11","        22","        23"
"107年 2月","         6","        12","        10"
"107年 3月","        14","        18","        17"
"107年 4月","        11","        13","        11"
"107年 5月","         7","        14","        18"
"107年 6月","        12","        17","        17"
"107年 7月","         6","        12","        14"
"107年 8月","        10","        16","        16"
"107年 9月","        12","        17","        14"
"107年 10月","         9","        13","        12"
"107年 11月","        13","        21","        23"
"107年 12月","        12","        18","        17"
"108年","       117","       183","       174"
"108年 1月","         9","        14","        13"
"108年 2月","         4","        10","        13"
"108年 3月","        13","        18","        17"
"108年 4月","        12","        18","        11"
"108年 5月","         8","        18","        20"
"108年 6月","         6","        12","         9"
"108年 7月","        14","        22","        20"
"108年 8月","        12","        17","        22"
"108年 9月","         9","        14","        12"
"108年 10月","        11","        14","        14"
"108年 11月","        11","        14","        11"
"108年 12月","         8","        12","        12"
"109年","       113","       173","       164"
"109年 1月","         7","        10","        10"
"109年 2月","        12","        16","        14"
"109年 3月","        11","        15","        12"
"109年 4月","        15","        24","        22"
"109年 5月","         8","        14","        13"
"109年 6月","         7","         8","         6"
"109年 7月","        14","        21","        25"
"109年 8月","         4","        14","        14"
"109年 9月","         7","        11","         9"
"109年 10月","        10","        16","        19"
"109年 11月","         8","        11","        10"
"109年 12月","        10","        13","        10"
"110年","        83","       121","       112"
"110年 1月","         7","         9","         5"
"110年 2月","         7","        10","         9"
"110年 3月","         4","         8","         6"
"110年 4月","        13","        12","        14"
"110年 5月","         6","        11","        10"
"110年 6月","         －","         2","         1"
"110年 7月","         4","         7","         6"
"110年 8月","         4","         5","         7"
"110年 9月","        10","        12","         9"
"110年 10月","         9","        14","        13"
"110年 11月","        12","        18","        19"
"110年 12月","         7","        13","        13"
"111年<br>(1月至9月)","        72","       107","       105"
"111年 1月","         9","        11","        10"
"111年 2月","         6","         9","         8"
"111年 3月","         9","        12","         8"
"111年 4月","         9","        16","        13"
"111年 5月","         7","        13","        13"
"111年 6月","         5","         6","         6"
"111年 7月","         9","        16","        17"
"111年 8月","        12","        13","        14"
"111年 9月","         6","        11","        16"

