name,party,education,url
丁守中,中國國民黨,"
台大政治系學士
美國佛萊契爾外交法律研究院(哈佛大學合作管理)
外交法律碩士
美國佛萊契爾外交法律研究院(哈佛大學合作管理)
國際政治學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=860
方醫良,中國國民黨,"
南英高商畢業
中大學公共行政研究班結業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=861
巴燕．達魯,民主進步黨,"
初中畢業。
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=862
王天競,親民黨,"
高雄市鹽埕國小
道明初中
高雄中學
中國文化大學建築及都市計畫學士
美國羅斯福大學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=863
王世勛,民主進步黨,"
台中商專畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=864
王令麟,中國國民黨,"
淡水工商管理學院企業管理科畢業
政治大學企業管理教育中心高階管理研習班B期畢業
美國聖若望大學榮譽商學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=865
王幸男,民主進步黨,"
陸軍軍官學校專修班畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=867
王拓,民主進步黨,"
基隆市八斗國小畢業
省立基隆中學畢業
國立師範大學學士
國立治大學碩士
美國愛荷華大學國際寫作計劃作家
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=868
王金平,中國國民黨,"
高雄縣路竹鄉大社國小畢業
省立台南一中初、高中部畢業
國立台灣師範大學數學系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=869
王昱婷,中國國民黨,"
輔仁大學法律系
北京大學經濟法研究所
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=870
王雪峯,民主進步黨,"
台大法律系畢業
美國康乃爾大學法律碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=871
瓦歷斯．貝林,無黨籍,"
輔仁大學哲學系
輔仁大學神學院
以色列國際農經研究中心進修
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=872
江綺雯,中國國民黨,"
高雄女中
淡江大學西班牙文學士
美國德瑞克大學高等教育管理行政博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=873
伍澤元,無黨籍,"
英倫敦大學住宅建設專題研究班結業
文化大學工學博士
交通大學運輸工程碩士
台大土木工程研究所研究
中央警官學校法學士
省立屏東師範畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=874
朱星羽,民主進步黨,"
正修工商專校工業管理科畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=876
朱惠良,無黨籍,"
美國普林斯頓大學藝術考古研究所
國立台灣大學中國歷史學研究所藝術史組
國立台灣大學歷史學系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=877
朱鳳芝,中國國民黨,"
美國諾普大學管理科學碩士
成功大學外文系畢
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=878
宋煦光,中國國民黨,"
國立政治大學畢業
青溪婦幹班第一期學員長
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=879
沈富雄,民主進步黨,"
省立台南一中畢業
國立台灣大學醫學院醫科畢業
美國加州大學舊金山醫學中心藥理學博士
美國華頓大學醫學院腎臟科後博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=880
沈智慧,親民黨,"
中國文化大學新聞系畢業、輔系企管
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=881
李文忠,民主進步黨,"
台大政治系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=882
李正宗,中國國民黨,"
私立世界新聞傳播學院報業行政
考試院八職等勞工行政特考及格
美國加州州立大學長堤分校公共行政研究
世新大學社會發展研究所碩士在職進修班(現)
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=883
李先仁,中國國民黨,"
國立台灣大學造船工程學系第一名畢業
美國史丹福大學工業工程學碩士
美國史丹福大學統計學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=884
李全教,中國國民黨,"
美國加州專業心理大學管理學博士班
美國伊利諾大學電機博士班
美國馬凱大學電機碩士
國立台北工學院電機工程系
台南一中
安定國中
安定國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=885
李俊毅,民主進步黨,"
國立政治大學法學碩士
國立政治大學公共行政系學士
省立台南二中
城光中學
歸南國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=887
李嘉進,中國國民黨,"
日本國立筑波大學經濟學碩士
國立中興大學財稅系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=888
李鳴皋,中國國民黨,"
海軍官校四十四年班畢業
外語學校情報軍官英語班第四期
三軍大學海軍指參學院五十九年畢業
三軍大學戢爭學院六十九年畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=889
李慶安,親民黨,"
美國馬里蘭大學傳播研究所碩士
國立政治大學新聞學系
台北市立第一女子高級中學
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=890
李慶雄,建國黨,"
台灣大學法律系
台灣大學法律研究所
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=891
李慶華,親民黨,"
政治大學法律系學士
紐約大學歷史學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=892
李顯榮,中國國民黨,"
省立台南一中畢業
淡江大學建築系畢業
美國諾瓦大學企業管理博士
高考及格建築師
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=894
吳光訓,中國國民黨,"
永達工商專校第一屆化工科畢業
義守大學管理研究所碩士班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=895
