name,party,education,url
丁守中,中國國民黨,"
台灣大學政治系學士
美國佛萊契爾外交法律研究院(哈佛大學合作管理)國際政治學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1319
王金平,中國國民黨,"
國立臺灣師範大學數學系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1320
王世堅,民主進步黨,"
協進幼稚園
中山國小
新興國中
再興高中
國立中興大學
文化大學應用化學研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1321
王世勛,民主進步黨,"
國立台中技術學院畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1322
王幸男,民主進步黨,"
陸軍官校專修班畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1323
王拓,民主進步黨,"
基隆市八斗子國小畢業
省立基隆中學畢業
國立師範大學學士
國立政治大學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1324
王昱婷,中國國民黨,"
永福國小
中山國中
家齊女中
輔仁大學法律系
北京大學經濟法研究所
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1325
王淑慧,民主進步黨,"
雙園國小
華江中學
板橋高中
輔仁大學
台灣大學政治研究所
美國伊利諾州州立大學環境保護研究
淡江大學教育政策與領導研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1326
王塗發,民主進步黨,"
美國聖塔芭芭拉加州大學經濟學碩士、博士
國立中興大學台北夜間部經濟學學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1327
王榮璋,民主進步黨,"
國立岡山高級中學
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1328
尹伶瑛,無黨籍,"
中正大學杜會福利研究所
凱達格蘭學校第一期女性公共事務領導班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1330
孔文吉,中國國民黨,"
英國羅芙堡大學(Loughorough Univ.)社會學系媒體研究組博士
美國奧勒岡大學(University of Oregon)新聞碩士
台灣大學外文系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1331
田秋堇,民主進步黨,"
台灣大學哲學系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1332
白添枝,中國國民黨,"
北峰國小畢業
瑞芳國中畢業
崇義高中肄業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1333
伍錦霖,中國國民黨,"
美國耶魯大學組織管理學院(S.O.M)研究
政治大學公共行政研究所畢業
甲等特考最優等及格(民國70年)
高考及格(大學三年級)
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1334
朱俊曉,中國國民黨,"
日本大學管理工學士畢業
格致高中畢業
徐匯中學畢業
三重市正義國小畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1335
朱鳳芝,中國國民黨,"
成功大學外文系
淡江大學大陸研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1336
江丙坤,中國國民黨,"
日本國立東京大學研究院農經博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1337
江昭儀,民主進步黨,"
員林國小
省立員林中學
東海大學經濟系
美國田納西州孟菲爾州立大學經濟碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1338
江連福,中國國民黨,"
坪林國小畢業
太平國中畢業
勤益高中畢業
東海大學經營管理師研究班
國立勤益技術學院流通管理科
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1339
何敏豪,民主進步黨,"
東海大學公共行政碩士
美國加州進修管理科學
國立中興大學企管系畢業
立人高中
育英國中
成功國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1340
何智輝,中國國民黨,"
台北工專工業工程科畢業
國立台北科技大學生產與管理研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1341
余政道,民主進步黨,"
國立台灣大學EMBA
美國南加州大學公共行政學院博士班研究
美國紐澤西州立大學財金研究所
美國南加州大學公共行政法學碩士
台北醫學大學畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1342
吳光訓,中國國民黨,"
義守大學企研所碩士畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1343
吳成典,中國國民黨,"
輔仁大學
美國凱斯西儲大學化學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1344
吳志揚,中國國民黨,"
台北市立建國高級中學
台灣大學法學碩士
美國哈佛大學法學碩士
台灣大學法律系司法組
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1345
吳育昇,中國國民黨,"
政治大學公共行政研究所碩士
政治大學政治系學士
台南一中
嘉義縣新港國中
嘉義縣新港國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1346
吳松柏,中國國民黨,"
美國西大平洋大學企業管理學系
美國M&N大學榮譽博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1347
吳秉叡,民主進步黨,"
成功高中
政治大學法律系學士
政治大學法律研究所碩士
司法官29期結業
凱達格蘭學校國策班第一期結業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1348
吳英毅,中國國民黨,"
台灣大學醫學系
榮總科住院醫師
美國外科醫學博士
國際外科學院研究員
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1349
吳清池,親民黨,"
沙崙國小
光華國中
光華高中
政治大學法律系實務班結業
革命實踐研究院結業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1350
吳富貴,民主進步黨,"
中華大學工業工程管理研究所碩士
國立師範大學數學系畢業
台中一中
岸裡國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1351
吳敦義,中國國民黨,"
草屯鎮新庄國小畢業
省立台中一中初、高中畢業
國立台灣大學畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1352
呂學樟,中國國民黨,"
明新科技大學畢業
國立交通大學管理學院結業
英國國立格萊摩根大學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1353
李全教,中國國民黨,"
安定國小
安定國中
台南一中
國立台北科技大學
美國馬凱大學電機碩士
美國伊利諾大學電機博士班
美國加州聯合大學(CSPP)管理學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1356
李和順,無黨團結聯盟,"
私立遠東技術學院畢業
私立神州高補校畢業
麻豆國中畢業
雙春國小畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1357
李昆澤,民主進步黨,"
輔仁大學歷史系畢
中山大學政治學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1358
李明憲,民主進步黨,"
東海大學法律實務研究班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1359
李俊毅,民主進步黨,"
國立政治大學公共行政系畢
公共行政研究碩士
台南二中
城光中學
歸南國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1360
李紀珠,中國國民黨,"
國立台灣大學經濟系保送直升經濟學博士
國立台灣大學第一位保送直升經濟學博士(最年輕經濟學博士，26歲)
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1361
李敖,無黨籍,"
台灣大學歷史研究所肄業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1362
李復興,中國國民黨,"
國立台中技術學院
日本國立東京外國語大學文學士
日本國立東京學藝大學教育學碩士
日本國立九州大學博士班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1363
李嘉進,中國國民黨,"
台南縣培文國小
台南縣立麻豆國中
台灣省立北門高中
國立中興大學財稅系畢業
日本國立筑波大學經濟學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1364
李慶安,中國國民黨,"
韓國清州大學教育學榮譽博士
美國馬里蘭大學傳播碩士
政治大學新聞系畢業
北一女中畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1365
李慶華,中國國民黨,"
紐約大學歷史學博士
政治大學法律系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1366
李鴻鈞,親民黨,"
日本大學結構工程博士
黎明工專畢
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1367
李鎮楠,民主進步黨,"
文化大學
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1368
李顯榮,民主進步黨,"
台南一中畢業
淡江大學建築系
教育政策領導研究所
美國企管博士
高考及格
全國傑出建築師
政大教育博士班
美國哈佛大學高級行政班結業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1369
杜文卿,民主進步黨,"
育達商業技術學院企管系畢
育達商業技術學院資管研究所研究
美國加州大學長堤分校國際社工研究所研究
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1370
沈智慧,親民黨,"
文化大學新聞系畢業
企管輔系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1371
沈發惠,民主進步黨,"
國立台灣大學政治學研究所
東海大學法律系
日本經濟產業研究所研究
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1372
周守訓,中國國民黨,"
民族國小
介壽國中
延平高中
世新大學
美國艾森傳播學院傳播學碩士
美國康乃爾大學政策分析暨管理學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1374
林正二,親民黨,"
臺東縣大王國小
省立臺東中學畢業
省立屏東師專畢業
國立臺灣師範大學教育系畢業
臺灣師大教育研究所結業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1376
林正峰,中國國民黨,"
龜山國小
武陵初中
桃園高中
開南管理學院
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1377
林育生,民主進步黨,"
國立台灣大學農學院畢業
國立政治大學EMBA研究所研究
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1378
林岱樺,民主進步黨,"
國立台北大學企管博士班
美國威斯康辛大學大眾傳播碩士
德國卡塞爾大學德語教學結業
輔仁大學德文系畢
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1379
林南生,中國國民黨,"
成功大學附設高工
國際商專企管科
美國華盛頓州西提大學企管碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1380
林建榮,中國國民黨,"
員山鄉深溝國小
省立宜蘭中學初、高中部
國立台灣師範大學公訓系畢業
國立台灣師範大學教育研究所結業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1381
