name,party,url
丁守中,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=860
方醫良,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=861
巴燕．達魯,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=862
王天競,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=863
王世勛,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=864
王令麟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=865
王幸男,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=867
王拓,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=868
王金平,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=869
王昱婷,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=870
王雪峯,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=871
瓦歷斯．貝林,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=872
江綺雯,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=873
伍澤元,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=874
朱星羽,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=876
朱惠良,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=877
朱鳳芝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=878
宋煦光,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=879
沈富雄,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=880
沈智慧,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=881
李文忠,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=882
李正宗,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=883
李先仁,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=884
李全教,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=885
李俊毅,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=887
李嘉進,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=888
李鳴皋,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=889
李慶安,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=890
李慶雄,建國黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=891
李慶華,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=892
李顯榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=894
吳光訓,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=895
吳克清,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=896
吳清池,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=897
呂新民,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=898
何智輝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=899
余政道,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=901
林文郎,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=902
林正二,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=903
林宏宗,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=904
林志嘉,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=905
林忠正,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=907
林明義,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=908
林炳坤,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=909
林南生,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=910
林建榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=911
林春德,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=913
林重謨,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=914
林益世,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=915
林國華,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=916
林國龍,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=917
林進春,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=918
林源山,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=919
林瑞圖,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=920
林濁水,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=921
林豐喜,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=922
林耀興,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=923
卓榮泰,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=924
周五六,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=925
周正之,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=926
周伯倫,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=927
周清玉,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=928
周雅淑,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=929
周慧瑛,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=930
周錫瑋,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=931
邱太三,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=932
邱垂貞,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=933
邱創良,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=934
邱鏡淳,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=935
施明德,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=936
洪玉欽,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=937
洪秀柱,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=938
洪性榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=939
洪奇昌,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=940
洪昭男,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=941
洪讀,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=942
柯建銘,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=943
范揚盛,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=945
侯惠仙,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=946
唐碧娥,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=947
高育仁,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=948
高揚昇,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=949
秦慧珠,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=950
徐中雄,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=952
徐少萍,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=953
徐成焜,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=954
徐志明,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=955
翁重鈞,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=958
梁牧養,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=959
許素葉,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=960
許登宮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=962
許舒博,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=963
許榮淑,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=964
許鍾碧霞,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=965
郭廷才,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=966
郭素春,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=967
郭榮振,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=968
章仁香,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=969
張川田,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=970
張文儀,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=971
張世良,新黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=972
張旭成,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=973
張秀珍,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=974
張明雄,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=975
張俊宏,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=976
張清芳,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=978
張蔡美,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=980
張學舜,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=981
曹啟鴻,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=982
曹爾忠,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=983
陳宏昌,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=984
