name,party,url
楊麗環,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1766
葉宜津,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1767
詹凱臣,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1768
廖正井,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1769
廖國棟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1770
管碧玲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1771
趙天麟,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1772
劉建國,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1773
劉櫂豪,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1774
潘維剛,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1776
蔣乃辛,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1777
蔡正元,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1778
蔡其昌,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1779
蔡煌瑯,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1780
蔡錦隆,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1781
鄭天財SraKacaw,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1782
鄭汝芬,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1783
鄭麗君,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1784
盧秀燕,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1785
盧嘉辰,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1786
蕭美琴,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1787
賴士葆,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1788
薛凌,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1789
謝國樑,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1790
簡東明,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1791
羅明才,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1794
羅淑蕾,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1795
蘇清泉,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1796
蘇震清,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1797
顏寬恒,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1798
陳怡潔,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1799
葉津鈴,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1800
賴振昌,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1801
周倪安,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1802
徐志榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1803
莊瑞雄,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1804
許淑華,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1805
陳素月,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1806
黃國書,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1807
詹滿容,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1808
林世嘉,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1710
林正二,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1711
林佳龍,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1712
林明溱,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1714
紀國棟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1728
徐耀昌,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1732
張曉風,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1739
許忠信,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1740
黃文玲,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1758
潘孟安,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1775
顏清標,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1792
魏明谷,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1793
