name,party,url
丁守中,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=689
尤宏,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=690
巴燕．達魯,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=691
王天競,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=692
王令麟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=693
王拓,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=695
王金平,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=696
王素筠,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=697
王雪峯,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=698
瓦歷斯．貝林,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=700
全文盛,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=701
朱星羽,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=702
朱高正,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=703
朱惠良,新黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=704
朱鳳芝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=705
沈富雄,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=706
沈智慧,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=707
李文郎,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=708
李必賢,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=710
李俊毅,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=711
李鳴皋,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=713
李慶華,新黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=714
李應元,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=715
李顯榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=716
杜振榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=717
吳克清,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=718
吳惠祖,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=719
余玲雅,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=720
林文郎,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=721
林宏宗,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=723
林明義,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=725
林炳坤,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=726
林建榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=727
林政則,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=728
林郁方,新黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=729
林哲夫,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=730
林國龍,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=731
林源山,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=732
林瑞卿,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=733
林濁水,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=734
林錫山,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=735
林豐喜,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=736
林耀興,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=737
周伯倫,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=738
