name,party,education,url
翁重鈞,中國國民黨,"
義竹國小畢業
台南市中畢業
台南二中畢業
文化大學新聞系畢業
文化大學國際企業管理所碩士畢業
國立台灣大學會計研究所碩士畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1607
高志鵬,民主進步黨,"
台大EMBA商學研究所
輔仁大學法律系財經法學組
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1608
高金素梅,無黨團結聯盟,"
青年高中
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1609
涂醒哲,民主進步黨,"
美國UCLA公共衛生博士
台大公共衛生研究所預防醫學碩士
台大醫學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1610
張嘉郡,中國國民黨,"
英國南漢普頓大學碩士畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1612
張慶忠,中國國民黨,"
中華大學土木研究所／工學碩士
台北科技大學
建築特考及消防專技特考及格
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1614
張顯耀,中國國民黨,"
法國巴黎第一大學政治學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1615
曹爾忠,中國國民黨,"
馬祖高中
中央警察大學法學士
法學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1616
郭玟成,民主進步黨,"
過路國小
興國中學
台南二中
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1617
郭素春,中國國民黨,"
美國威廉伍德大學企業管理研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1618
陳杰,中國國民黨,"
日本近畿大學畢業
政治大學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1620
陳亭妃,民主進步黨,"
文化大學
長榮大學經營管理碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1621
陳根德,中國國民黨,"
南亞技術學院財務金融系畢業
元智大學社會暨政策科學學系碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1622
陳節如,民主進步黨,"
台灣師範大學英語系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1624
陳福海,無黨籍,"
金門高中畢
空專行政管理科畢
空專社會工作與福利行政科畢
空中大學公共行政系畢
銘傳大學公共事務所學分班
高雄大學高階經營管理碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1625
陳瑩,民主進步黨,"
美國伊利諾大學香檳校園音樂系博士班肄業<大鍵琴演奏>
美國伊利諾大學香檳校園音樂系碩士班畢業<大鍵琴演奏>
美國舊金山音樂學院學士畢業<鋼琴演奏>
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1626
曾永權,中國國民黨,"
逢甲大學畢業
美諾斯諾普大學工研所
美國杜克大學公共政策研究所
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1628
費鴻泰,中國國民黨,"
美國肯塔基大學統計學博士
美國北伊利諾大學統計學碩士
國立中興大學統計學學士
成功高中
大安國中
三興國小
信義國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1629
黃志雄,中國國民黨,"
國立體育學院博士班
文化大學運動教練研究所碩士
文化大學體育系國術組學士
國立華僑高中
樹林國中
文林國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1630
黃昭順,中國國民黨,"
台南女中
高雄醫學大學藥學系
中山大學管理學院高階經營碩士班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1631
黃偉哲,民主進步黨,"
美國哈佛大學碩士
美國耶魯大學碩士
國立台灣大學學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1632
黃淑英,民主進步黨,"
英屬哥倫比亞大學動物學碩士
輔仁大學生物系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1634
黃義交,中國國民黨,"
省立虎尾中學畢業
淡江大學教育資料科學系畢業
文化大學中美關係研究所碩士
英國牛津大學外交官訓練所畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1635
楊仁福,中國國民黨,"
國立台灣大學政治系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1636
楊瓊瓔,中國國民黨,"
東海大學社會學系畢業
東海大學公共事務碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1637
楊麗環,中國國民黨,"
法國史湯達爾大學預科博士
法國巴黎大學碩士
高雄師範大學學士
北一女中
振聲中學
成功國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1638
葉宜津,民主進步黨,"
美國Bridgeport大學音樂教育碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1639
廖國棟,中國國民黨,"
都蘭國小
都蘭國中
淡江中學高中部
高雄醫學大學醫學系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1641
廖婉汝,中國國民黨,"
台師大教育系
政大經營管理碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1642
管碧玲,民主進步黨,"
國立台灣大學政治學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1643
趙麗雲,中國國民黨,"
美國哥倫比亞大學教育博士(民76)
國立台灣師範大學教育學碩士(民66)
國立台灣師範大學體育學士(民64)
洛桑管理學院行銷班結業
國立政治大學行政管理研究班第39期結業
行政院國家建設研究班第3期結業
全國公務人員高等考試及格(民66)
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1644
劉盛良,中國國民黨,"
大同大學企管學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1645
劉銓忠,中國國民黨,"
順天國民小學
大甲農校
培元高級職業學校畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1646
潘孟安,民主進步黨,"
義守大學肄業
中山大學公共事務研究所學分班
中興大學公共行政學分班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1647
潘維剛,中國國民黨,"
師範大學三民主義研究所法學博士
師範大學政治研究所法學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1648
蔣孝嚴,中國國民黨,"
東吳大學學士
美國喬治城大學碩士
外交領事人員乙等特考及格
外交領事人員甲等特考最優等及格
美國聖約翰大學榮譽法學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1649
蔡正元,中國國民黨,"
美國哥倫比亞大學經濟學博士研究
美國哈佛大學政府研究所碩士
教育部公費留學考試經濟學士
政治大學企業管理研究所碩士
台灣師範大學教育學士
台北市松山工農職校
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1650
蔡同榮,民主進步黨,"
嘉義縣新國小畢業
台南一中初中部畢業
嘉義中學高中部畢業
國立台灣大學法律系畢業
美國田納西大學政治學碩士
美國南加州大學政治學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1651
蔡煌瑯,民主進步黨,"
政治大學行政專科
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1652
蔡錦隆,中國國民黨,"
永安國小
黎明國中
西苑中學
修平技術學院
東海大學地政班
中華大學科技管理研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1653
鄭汝芬,中國國民黨,"
明道管理學院畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1654
鄭金玲,中國國民黨,"
日本拓殖大學商學部經營學系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1655
鄭麗文,中國國民黨,"
英國劍橋大學國際關係博士侯選人
美國天普大學法學碩士
台大法律系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1656
盧秀燕,中國國民黨,"
淡江大學國際事務與戰略研究所碩士
國立政治大學地政系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1657
盧嘉辰,中國國民黨,"
中華大學科技管理研究所
中華大學企業管理學系畢業
三峽初中
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1658
蕭景田,中國國民黨,"
社頭朝興國小
永靖農工
陸軍官校專修班畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1659
賴士葆,中國國民黨,"
美國南加州大學工業與系統工程碩士、博士
國立政治大學企管碩士
國立成功大學機械學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1660
薛凌,民主進步黨,"
國立政治大學公共關係研習班結業
開南大學企管系肄業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1662
謝國樑,中國國民黨,"
聖心國小
二信中學
美國南加州大學社會系學士
美國麻省理工學院科技管理學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1663
鍾紹和,中國國民黨,"
文化大學畢
國立中山大學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1664
簡東明,中國國民黨,"
屏東師範專科學校61級畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1665
顏清標,無黨團結聯盟,"
高中畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1666
羅明才,中國國民黨,"
美國華盛頓城市大學企業管理碩士
致理商專技術學院企業管理系畢
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1667
羅淑蕾,中國國民黨,"
東吳大學會計系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1668
蘇震清,民主進步黨,"
國立屏東科技大學農企業管理系碩士畢
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1669
陳淑慧,中國國民黨,"
高雄女中
東吳大學電子計算機應用科學系
美國佛羅里達州理工學院電腦科學碩士
美國南達科達州立大學高等教育博士研究所
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1670
蔣乃辛,中國國民黨,"
大同大學事業經營研究所碩士畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1672
劉建國,民主進步黨,"
國立空中大學公共行政系
美和技術學院社工系
凱達格蘭學校地方領袖班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1673
許舒博,中國國民黨,"
私立正心中學
省立嘉義高級中學
比利時魯汶大學
國立中正大學犯罪防治研究所
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1674
馬文君,中國國民黨,"
嘉南藥專(嘉南藥理科技大學)藥理科畢業
逢甲大學ＥＭＢＡ碩士班研究
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1675
郭榮宗,民主進步黨,"
國立中壢高中畢業
國立海洋大學航管系畢業
國立海洋大學航管研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1676
賴坤成,民主進步黨,"
關山國小
卑南國小
東師附小
關山國中
建國中學
台大法律系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1677
王廷升,中國國民黨,"
美國喬治華盛頓大學國際企業博士
美國喬治華盛頓大學國際企業碩士
私立東吳大學商用數學系商學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1679
陳明文,民主進步黨,"
私立東海大學哲學系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1680
