name,party,page
趙正宇,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1893
劉世芳,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1894
劉建國,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1895
劉櫂豪,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1896
蔡其昌,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1897
蔡易餘,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1898
蔡培慧,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1899
蔡適應,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1900
蔣乃辛,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1901
蔣萬安,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1902
鄭天財SraKacaw,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1903
鄭運鵬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1904
鄭寶清,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1906
蕭美琴,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1908
賴士葆,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1909
賴瑞隆,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1910
鍾孔炤,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1911
鍾佳濱,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1912
簡東明Uliw．Qaljupayare,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1913
顏寬恒,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1914
羅明才,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1915
羅致政,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1916
蘇巧慧,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1917
蘇治芬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1918
蘇嘉全,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1919
蘇震清,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1920
施義芳,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1922
李麗芬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1923
郭正亮,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1924
邱泰源,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1925
蔣絜安,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=20907
林奕華,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=21136
陳靜敏,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=21156
童惠珍,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=33011
沈智慧,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=33058
何志偉,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=33078
余天,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=33150
郭國文,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=33171
柯呈枋,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=33192
陳玉珍,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=33213
鄭秀玲,時代力量,https://www.ly.gov.tw/Pages/List.aspx?nodeid=33402
王惠美,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1812
李應元,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1831
谷辣斯．尤達卡KolasYotaka,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1833
姚文智,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1846
