name,party,education,url
王金平,中國國民黨,"
臺灣省立師範大學數學系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1809
王育敏,中國國民黨,"
東海大學社會工作學系碩士
東海大學社會工作學系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1810
王定宇,民主進步黨,"
國立成功大學外文系
國立成功大學企管碩士
國立台北大學企管博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1811
王榮璋,民主進步黨,"
國立岡山高中畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1813
孔文吉,中國國民黨,"›
臺灣大學外文系畢業
美國奧勒岡大學(University of Oregon)新聞碩士
英國羅芙堡大學(Loughborough University)社會學系媒體研究組博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1814
尤美女,民主進步黨,"
國立臺灣大學法律學研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1815
江永昌,民主進步黨,"
中和國小
海山國中
建國高中
中興大學物理學士
臺灣師範大學政治學研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1816
江啟臣,中國國民黨,"
美國南卡羅萊納大學國際關係博士
美國匹茲堡大學國際事務碩士
國立政治大學外交學系
台中一中
豐南國中
瑞穗國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1817
何欣純,民主進步黨,"
塗城國小
成功國中
臺中女中
國立成功大學
英國約克大學婦女研究碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1818
余宛如,民主進步黨,"
倫敦大學亞非學院飲食人類學碩士
臺灣大學經濟系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1819
吳玉琴,民主進步黨,"
東海大學社會工作碩士
政治大學社會學系學士
嘉義女中
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1820
吳志揚,中國國民黨,"
哈佛大學法學碩士
臺灣大學法律研究所碩士
臺灣大學法律系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1821
吳秉叡,民主進步黨,"
士林國小
成功高中
國立政治大學法律系法學組學士
國立政治大學法律研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1822
吳思瑤,民主進步黨,"
臺灣大學政治學研究所碩士
輔仁大學西語系、日語系文學雙學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1823
吳焜裕,民主進步黨,"
美國北卡蘿萊納大學教堂山分校環境工程科博士(毒理)
美國北卡蘿萊納大學教堂山分校碩士(環境工程科學)
國立陽明大學醫學工程碩士
國立清華大學化學工程系學士
嘉義高中
嘉義市民生國中
嘉義市志航國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1824
吳琪銘,民主進步黨,"
德霖技術學院畢
世新大學企業管理學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1825
呂玉玲,中國國民黨,"
桃園創新技術學院企業管理科
桃園市育達高中
桃園市中壢國中
桃園市中壢國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1826
呂孫綾,民主進步黨,"
淡水國小
聖心女中
文化大學政治學系
文化大學政治研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1827
李昆澤,民主進步黨,"
輔大歷史系畢
中山大學政治學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1828
李俊俋,民主進步黨,"
美國波士頓學院政治研究所碩士
文化大學政治系學士
嘉義市民族國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1829
李彥秀,中國國民黨,"
美國加州爾灣大學經濟系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1830
李鴻鈞,親民黨,"
日本大學結構工程學博士
黎明工專畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1832
周春米,民主進步黨,"
國立臺灣大學法律學系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1834
周陳秀霞,親民黨,"
臺南縣立官田國民中學畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1835
林岱樺,民主進步黨,"
天主教輔仁大學德文系畢業
美國威斯康辛大學大眾傳播碩士
德國卡賽爾綜合大學(Gesamthochschule Kassel Universitaet)德語教學(Deutsch als Fremdsprache)研究結業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1836
林俊憲,民主進步黨,"
臺南一中畢業
國立成功大學企管系畢業
美國密蘇里大學企管碩士(u. of Missouri,MBA)
臺大國家發展研究所博士班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1837
林昶佐,無黨籍,"
國立台北大學企業管理學系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1838
林為洲,中國國民黨,"
國立中央大學中文系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1839
林淑芬,民主進步黨,"
第6、7、8屆立法委員
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1840
林德福,中國國民黨,"
臺北縣立頂溪國小畢業
臺灣省立板橋中學畢業
私立開南高級商工職業學校畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1841
林靜儀,民主進步黨,"
台大分子醫學研究所碩士
中山醫學大學醫學研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1842
林麗蟬,中國國民黨,"
國立暨南國際大學非營利組織經營管理研究所碩士
建國科技大學美容系
靜宜大學社會工作與兒童少年福利學系學分班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1843
邱志偉,民主進步黨,"
淡江大學俄羅斯研究所法學碩士
國立臺灣大學國家發展研究所法學碩士
國立中山大學大陸研究所社會科學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1844
邱議瑩,民主進步黨,"
高雄市道明高中
美國舊金山多明尼肯大學企管研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1845
柯志恩,中國國民黨,"
美國南加大教育心理學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1847
