name,party,url
王金平,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1088
王幸男,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1089
王拓,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1090
王政中,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1091
王昱婷,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1092
王淑慧,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1093
王雪峯,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1094
王鍾渝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1095
尤清,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1096
瓦歷斯．貝林,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1097
朱星羽,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1098
朱鳳芝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1099
江丙坤,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1100
江昭儀,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1101
江綺雯,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1102
何金松,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1103
何敏豪,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1104
何智輝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1105
余政道,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1106
吳成典,新黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1107
吳東昇,台灣團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1108
吳敦義,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1109
呂新民,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1110
呂學樟,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1111
李文忠,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1112
李永萍,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1113
李全教,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1114
李明憲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1116
李俊毅,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1117
李桐豪,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1118
李雅景,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1119
李嘉進,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1120
李慶安,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1121
李慶華,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1122
李鴻鈞,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1123
