name,party,url
丁守中,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1319
王金平,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1320
王世堅,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1321
王世勛,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1322
王幸男,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1323
王拓,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1324
王昱婷,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1325
王淑慧,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1326
王塗發,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1327
王榮璋,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1328
尹伶瑛,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1330
孔文吉,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1331
田秋堇,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1332
白添枝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1333
伍錦霖,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1334
朱俊曉,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1335
朱鳳芝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1336
江丙坤,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1337
江昭儀,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1338
江連福,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1339
何敏豪,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1340
何智輝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1341
余政道,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1342
吳光訓,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1343
吳成典,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1344
吳志揚,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1345
吳育昇,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1346
吳松柏,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1347
吳秉叡,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1348
吳英毅,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1349
吳清池,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1350
吳富貴,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1351
吳敦義,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1352
呂學樟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1353
李全教,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1356
李和順,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1357
李昆澤,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1358
李明憲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1359
李俊毅,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1360
李紀珠,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1361
李敖,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1362
李復興,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1363
李嘉進,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1364
李慶安,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1365
李慶華,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1366
李鴻鈞,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1367
李鎮楠,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1368
李顯榮,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1369
杜文卿,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1370
沈智慧,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1371
沈發惠,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1372
周守訓,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1374
林正二,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1376
林正峰,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1377
林育生,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1378
林岱樺,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1379
林南生,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1380
