name,party,education,url
丁守中,中國國民黨,"
美國佛萊契爾外交法律研究院（哈佛大學合作管理）外交法律碩士、國際政治學博士
台大政治系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1685
王金平,中國國民黨,"
台灣省立師範大學數學系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1686
王廷升,中國國民黨,"
美國喬治華盛頓大學國際企業博士
美國喬治華盛頓大學國際企業碩士
私立東吳大學商用數學系商學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1687
王育敏,中國國民黨,"
東海大學社會工作學系碩士
東海大學社會工作學系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1688
王惠美,中國國民黨,"
東海大學政治系學士
東海大學政治學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1689
王進士,中國國民黨,"
國立中山大學管理學院公共事務管理研究所碩士
世界新聞專科學校
省立屏東高中
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1690
孔文吉,中國國民黨,"
台灣大學外文系
美國奧勒崗大學新聞碩士
英國羅芙堡大學社會學系媒體研究組博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1691
尤美女,民主進步黨,"
國立台灣大學法律學系學士
國立台灣大學法律研究所碩士
西德法蘭克福大學法學博士侯選人
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1692
田秋堇,民主進步黨,"
台灣大學哲學系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1693
江啟臣,中國國民黨,"
美國南卡羅萊納大學國際關係博士
美國匹茲堡大學公共暨國際事務碩士
國立政治大學外交學系畢業
台中一中畢業
豐南國中畢業
瑞穗國小畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1694
江惠貞,中國國民黨,"
輔仁大學EMBA100年班錄取
中興大學憲政研究班結業
輔仁大學中文系畢業
北一女中
板橋重慶國中
板橋後埔國小
板信幼稚園
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1695
何欣純,民主進步黨,"
塗城國小
成功國中
台中女中
國立成功大學
英國約克大學婦女研究碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1696
吳育仁,中國國民黨,"
英國華威大學工業關係博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1697
吳育昇,中國國民黨,"
政治大學政治系學士、公共行政碩士
台南一中
嘉義新港國中、新港國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1698
吳宜臻,民主進步黨,"
國立台灣大學法律系法學士
國立交通大學法學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1699
吳秉叡,民主進步黨,"
士林國中
成功高中
政治大學法律系法學組學士
政治大學法律學研究所碩士
司法官訓練所司法官第29期結業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1700
呂玉玲,中國國民黨,"
南亞技術學院企業管理科
育達高級中學畢業
中壢國中
中壢國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1701
呂學樟,中國國民黨,"
英國國立格萊摩根大學人力資源管理科學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1702
李昆澤,民主進步黨,"
輔大歷史系畢
中山大學政治學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1703
李俊俋,民主進步黨,"
美國喬治華盛頓大學政治研究所博士班結業
美國波士頓學院政治研究所碩士
文化大學政治系學士
嘉義市民族國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1704
李桐豪,親民黨,"
國立台灣大學經濟系學士
美國俄亥俄州立大學經濟博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1705
